#1
int dur[] = {1,10,6,9,1,4};
int cos[] = { 10, 60, 27, 82, 62 ,53 };
double pr[] = {   0.500626  ,    0.781793,      0.596652,     0.904370 ,     0.792505 ,     0.739937  };

#2
int dur[] = {8,4,3,6,10,7};
int cos[] = { 41   ,   90    ,  84    ,  77 ,     25 ,     87  };
double pr[] = {   0.675146  ,    0.947981,      0.911420 ,     0.873302   ,   0.587054   ,   0.929472  };

#3
int dur[] = {3,1,7,9,1,3};
int cos[] = {    73  ,    56   ,   37  ,    11  ,    18 ,     42 };
double pr[] = {   0.855251 ,     0.756767,      0.651997 ,     0.507492  ,    0.545701   ,   0.682226 };

#4
int dur[] = {10,7,9,7,6,9};
int cos[] = { 23  ,    24   ,   98    ,  50      20  ,    10  };
double pr[] = {  0.573656     , 0.582949  ,    0.994263   ,   0.722846   ,   0.559542    ,  0.502335 };

#5
int dur[] = {6,2,6,8,2,1};
int cos[] = {  10   ,   44   ,   57   ,   61   ,   64   ,   64  };
double pr[] = {  0.504456 ,     0.688940    ,  0.765831   ,   0.785592   ,   0.800882   ,   0.803583 };

#6
int dur[] = {5,7,4,3,5,10};
int cos[] = { 24  ,    69     , 50     , 41   ,   15    ,  64     };
double pr[] = { 0.583117 ,     0.831523 ,     0.725394 ,     0.676061  ,    0.528520 ,     0.803842 };

#7
int dur[] = {9,3,6,1,8,7};
int cos[] = {  80 ,     82     , 56   ,   37    ,  88 ,     75  };
double pr[] = {  0.891659,      0.901303  ,    0.759941  ,    0.650975   ,   0.937986  ,    0.863338   };

#8
int dur[] = {4,10,10,5,3,7};
int cos[] = { 96    ,  93  ,    58   ,   22    ,  51  ,    31  };
double pr[] = {   0.977950  ,    0.962859    ,  0.769677 ,     0.571169  ,    0.731040  ,    0.617664 };

#9
int dur[] = {1,10,6,9,1,4};
int cos[] = { 87     , 28  ,    80   ,   85   ,   99  ,    99};
double pr[] = {  0.931120  ,    0.604801   ,   0.889828   ,   0.921827    ,  0.998398 ,     0.999847    };

#10
int dur[] = {8,4,3,6,10,7};
int cos[] = {   65  ,    45    ,  33   ,   36    ,  85   ,   12   };
double pr[] = {   0.805750,      0.696219,      0.633106    ,  0.648640    ,  0.920072,      0.511872  };

#11
int dur[] = {3,10,5,6,1,2};
int cos[] = {  43,      18   ,   70     , 15    ,  10 ,     92 };
double pr[] = {  0.687933,      0.546312  ,    0.838603  ,    0.528108   ,   0.504395,      0.959395 };

#12
int dur[] = {4,6,2,2,7,5};
int cos[] = { 34  ,    34      ,62     , 72     , 85 ,     75 };
double pr[] = { 0.637944 ,     0.636448    ,  0.793954     , 0.845592    ,  0.918806  ,    0.863247   };

#13
int dur[] = {10,3,2,6,10,9};
int cos[] = {  53 ,     28     , 76    ,  52   ,   51 ,     95 };
double pr[] = {    0.742470   ,   0.602680,      0.871868   ,   0.734230 ,     0.728980  ,    0.974578  };

#14
int dur[] = {5,7,4,3,5,10};
int cos[] = {   76  ,    19 ,     63   ,   44   ,   76   ,   64 };
double pr[] = {  0.872219 ,     0.554140  ,    0.799524   ,   0.692618 ,     0.867504 ,     0.804483 };

#15
int dur[] = {9,3,6,1,8,7};
int cos[] = { 61   ,   42   ,   23      ,30      ,48   ,   82 };
double pr[] = {  0.786203 ,     0.680670   ,   0.575777  ,    0.612552,      0.712577,      0.901440 };

#16
int dur[] = {2,10,9,10,7,9,7,8};
int cos[] = { 56  ,    99     , 77      ,41     , 25   ,   69   ,   54  ,    15 };
double pr[] = {   0.758553  ,    0.994995  ,    0.875774   ,   0.672781     , 0.584490     , 0.828654    ,  0.745949 ,     0.531770 };

#17
int dur[] = {6,8,2,1,1,6,2,4};
int cos[] = {  72    ,  55  ,    23     , 95    ,  22   ,   91    ,  72   ,   37 };
double pr[] = {   0.849879,      0.752403   ,   0.573748     , 0.974792,      0.570788  ,    0.952559   ,   0.846446 ,    0.651524 };

#18
int dur[] = {7,4,5,4,4,2,3,9};
int cos[] = {  48    ,  16,      96,      71  ,    23  ,    88   ,   83  ,    62 };
double pr[] = {   0.713279 ,     0.535188,      0.983306   ,   0.841594   ,   0.576617   ,   0.938627  ,    0.910840      , 0.791025  };

#19
int dur[] = {1,7,10,2,5,5,1,5};
int cos[] = { 27   ,   26   ,   83    ,  52    ,  23    ,  55   ,   75   ,   46 };
double pr[] = {  0.595676  ,    0.588946,      0.908597  ,    0.737632  ,    0.577776   ,   0.751961   ,   0.866008      , 0.702795 };

#20
int dur[] = {9,1,5,7,4,6,3,5};
int cos[] = {  35   ,   61 ,     71   ,   78   ,   74    ,  52 ,     21   ,   43  };
double pr[] = {  0.639790   ,   0.784371,      0.841121 ,     0.877926    ,  0.860958 ,     0.737648  ,    0.561510 ,     0.683905 };

#21
int dur[] = {10,6,9,1,2,7,4,1};
int cos[] = { 85   ,   13   ,   56      ,69   ,   48  ,    19    ,  95   ,   92};
double pr[] = { 0.917341  ,    0.517548  ,    0.758507 ,     0.831492   ,   0.713111,      0.552339,      0.974670      , 0.960692 };

#22
int dur[] = {7,8,4,3,6,10,4,9};
int cos[] = { 59  ,    41 ,     52  ,    43    ,  86  ,    38    ,  51  ,    34 };
double pr[] = {    0.774773  ,    0.672994  ,    0.735862   ,   0.687490,      0.923490 ,     0.658437 ,     0.728050 ,     0.635945 };

#23
int dur[] = {6,8,3,3,1,7,9,7};
int cos[] = { 98  ,    36    ,  76     , 61   ,   27     , 78    ,  85   ,   45 };
double pr[] = { 0.991485  ,    0.648900   ,   0.869594    ,  0.783639  ,    0.597995   ,   0.880657     , 0.919721 ,     0.698828  };

#24
int dur[] = {6,8,2,10,9,10,7,2};
int cos[] = {  55   ,   90  ,    12    ,  99  ,    61  ,    14   ,   57 ,     27  };
double pr[] = {   0.750450  ,    0.945082,      0.513733   ,   0.997314   ,   0.786294 ,     0.525254   ,   0.765664 ,     0.597034  };

#25
int dur[] = {8,4,6,8,2,1,1,3};
int cos[] = { 85    ,  66 ,     69 ,     27   ,   85   ,   21  ,    19   ,   76};
double pr[] = {   0.921522,      0.813379   ,   0.828806 ,     0.598926   ,   0.921079     , 0.561663   ,   0.554964 ,     0.871563 };

#26
int dur[] = {6,10,1,5,4,6,2,2};
int cos[] = {  38 ,     94   ,   35    ,  40     , 22  ,    75   ,   85 ,     73  };
double pr[] = { 0.657033 ,     0.970534   ,   0.643040     , 0.668157   ,   0.570132   ,   0.866543    ,  0.917310,      0.853999 };

#27
int dur[] = {7,4,3,5,7,9,10,5};
int cos[] = { 64  ,    77   ,   32     , 23   ,   10  ,    15   ,   82 ,     86 };
double pr[] = {  0.800119 ,     0.873608  ,    0.626362   ,   0.572237,      0.500809  ,    0.530503  ,    0.903119,      0.926313  };

#28
int dur[] = {7,9,3,6,1,8,2,8};
int cos[] = { 28    ,  20  ,    59     , 11     , 20    ,  50  ,    77  ,    71 };
double pr[] = {  0.605289 ,     0.557802 ,     0.776605  ,    0.507126  ,    0.556887   ,   0.727256  ,    0.876110 ,     0.843074 };

#29
int dur[] = {1,2,7,4,10,10,5,9};
int cos[] = {  58 ,     16   ,   49     , 28   ,   72    ,  36   ,   49  ,    30 };
double pr[] = { 0.771722  ,    0.536943  ,    0.718360    ,  0.600970  ,    0.848109   ,   0.645177     , 0.718345     , 0.616214 };

#30
int dur[] = {3,6,10,4,4,1,10,4};
int cos[] = { 62   ,   57  ,    66    ,  24  ,    55,      96   ,   72   ,   93 };
double pr[] = {  0.788934    ,  0.766289 ,     0.814341  ,    0.580096   ,   0.752068   ,   0.981521    ,  0.847880    ,  0.962401 };

#31
int dur[] = {4,1,9,5,8,7,9,1,4,6};
int cos[] = { 27    ,  40,      26  ,    99    ,  51  ,    99   ,   18   ,   66  ,    18 ,     49};
double pr[] = { 0.594974 ,     0.667974     , 0.589175 ,     0.997589 ,     0.728721 ,     0.999008   ,   0.548753   , 0.812586   ,   0.547197,      0.718863  };

#32
int dur[] = {2,5,3,10,2,6,3,1,4,1};
int cos[] = { 93   ,   14 ,     90    ,  36    ,  30    ,  79    ,  46   ,   28   ,   66     , 64  };
double pr[] = {    0.965758 ,     0.524216    ,  0.947310 ,     0.645009 ,     0.613651,      0.884533   ,   0.705359  ,    0.600986 ,     0.814035    ,  0.802072 };

#33
int dur[] = {3,9,4,3,3,6,4,7,2,2};
int cos[] = {  50   ,   51   ,   63      ,67     , 86  ,    84     , 66     , 74    ,  60      43 };
double pr[] = {   0.725806  ,    0.733177  ,    0.798914   ,   0.817362 ,     0.92739,6      0.914396 ,     0.812387  ,    0.860454 ,     0.782876  ,    0.687567  };

#34
int dur[] = {4,10,6,9,5,3,3,3,2,3};
int cos[] = {  26  ,    76     , 59    ,  91     , 31   ,   27     , 64    ,  72    ,  62      ,41  };
double pr[] = {   0.592135  ,    0.868954    ,  0.777566  ,    0.952544 ,     0.621433 ,     0.594470   ,   0.802362 ,     0.849254  ,    0.792306  ,    0.675649 };

#35
int dur[] = {10,4,10,7,3,4,10,6,6,8};
int cos[] = {54  ,    17   ,   76  ,    65     , 65 ,     72    ,  82   ,   23     , 61  ,    88  };
double pr[] = { 0.747230   ,   0.540193 ,     0.870373  ,    0.806024  ,    0.810190  ,    0.845561   ,   0.902264 ,     0.574557  ,    0.788018  ,    0.933866 };

#36
int dur[] = {2,1,1,6,2,6,8,2,10,8};
int cos[] = {  92   ,   65   ,   75   ,   13   ,   70  ,    97    ,  38  ,    61   ,   37   ,   25  };
double pr[] = { 0.955779  ,    0.807352   ,   0.863842   ,   0.521607  ,    0.833888   ,   0.988266  ,    0.657506 ,     0.784600    ,  0.652913   ,   0.586962 };

#37
int dur[] = {7,4,5,4,4,2,3,8,4,9};
int cos[] = {  19   ,   88  ,    86   ,   76   ,   23   ,   39   ,   17    ,  16  ,    67 ,     83 };
double pr[] = {   0.554277   ,   0.934523   ,   0.925611    ,  0.872158   ,   0.577441,      0.663457    ,  0.539674,      0.538301   ,   0.820490   ,   0.910001 };

#38
int dur[] = {2,5,1,7,10,2,5,5,1,3};
int cos[] = {  59 ,     50   ,   46  ,    36  ,    51 ,     55  ,    23    ,  39 ,     76 ,     38  };
double pr[] = {   0.772546   ,   0.724128  ,    0.704489  ,    0.649373   ,   0.732780   ,   0.750603    ,  0.576327  ,    0.661519   ,   0.868999   ,   0.656941      
};

#39
int dur[] = {6,9,10,5,9,1,5,7,4,7};
int cos[] = { 84    ,  96   ,   88 ,     75   ,   37 ,     94 ,     21   ,   15 ,     80  ,    57 };
double pr[] = {  0.913343  ,    0.979537   ,   0.936674   ,   0.862514    ,  0.650029 ,     0.971999  ,    0.563616 ,     0.532868  ,    0.892483 ,     0.762291};

#40
int dur[] = {1,9,5,8,7,9,1,4,1,4};
int cos[] = { 64  ,    96     , 16   ,   88   ,   68    ,  38   ,   19   ,   55    ,  30  ,    36 };
double pr[] = {   0.804819  ,    0.978057  ,    0.536134   ,   0.937819    ,  0.826930    ,  0.661061 ,     0.552400,      0.752525   ,   0.613544  ,    0.645146   };

#41
int dur[] = {9,3,6,1,8,2,10,5,7,7};
int cos[] = {   92   ,   59  ,    69   ,   20   ,   54     , 44  ,    54   ,   81    ,  55    ,  44   };
double pr[] = {  0.959990  ,    0.775582 ,     0.831400   ,   0.557268 ,     0.746269   ,   0.689566   ,   0.748405  ,    0.896680    ,  0.754631  ,    0.691183  };

#42
int dur[] = {9,1,2,7,4,10,10,5,3,6};
int cos[] = { 71    ,  57    ,  64  ,    45   ,   10   ,   73  ,    19   ,   66  ,    87   ,   54 };
double pr[] = {  0.844081  ,    0.766076   ,   0.803140   ,   0.697592  ,    0.502945   ,   0.853938   ,   0.550310 ,     0.811533    ,  0.931623  ,    0.745750 };

#43
int dur[] = {7,8,4,3,6,10,4,4,1,9};
int cos[] = {  77   ,   54    ,  44    ,  80   ,   59     , 42    ,  96    ,  66   ,   25    ,  43 };
double pr[] = {  0.873669   ,   0.748451   ,   0.690054  ,    0.892682  ,    0.776406    ,  0.678549  ,    0.977859  ,    0.815424   ,   0.588290  ,    0.687124   };

#44
int dur[] = {9,7,6,8,3,3,1,7,9,7};
int cos[] = {    21 ,     76     , 95      ,65    ,  12  ,    39    ,  15  ,    67   ,   21    ,  86  };
double pr[] = {  0.565813     , 0.871639     , 0.975860  ,    0.805994     , 0.513916 ,     0.664922     , 0.527955    ,  0.819605     , 0.565813,      0.923536  };

#45
int dur[] = {1,1,6,2,6,8,2,10,9,2};
int cos[] = {  87     , 63  ,    74 ,     86    ,  11    ,  21  ,    73 ,     65 ,     29  ,    15  };
double pr[] = {   0.932157  ,    0.798441,      0.860820   ,   0.926984   ,   0.507340 ,     0.563234  ,    0.853954,      0.808573 ,     0.608783  ,    0.532975};

#46
int dur[] = {2,10,2,2,2,10,5,4,4,9,6,4};
int cos[] = {  25    ,  66 ,     40    ,  38    ,  43 ,     69    ,  82   ,   82   ,   57,      64  ,    81,      91};
double pr[] = {   0.584460  ,    0.812052,      0.670492  ,    0.659703 ,     0.683782 ,     0.830500  ,    0.901196,      0.903439  ,    0.763268     , 0.805551  ,    0.899091   ,   0.950301 };

#47
int dur[] = {6,3,7,3,3,8,8,4,7,5,5,4};
int cos[] = { 23    ,  66   ,   46   ,   32  ,    22   ,   86   ,   15   ,   48   ,   61 ,     37   ,   59  ,    30  };
double pr[] = {   0.572405  ,    0.815088  ,    0.701209   ,   0.626850  ,    0.568270 ,     0.927595 ,     0.533082 ,     0.713904 ,     0.786676  ,    0.651143     , 0.774026  ,    0.612781  };

#48
int dur[] = {2,5,7,7,5,9,7,5,8,1,9,10};
